repeat,fold,model_family,mode,supervision_mode,affinity_weight,target_policy,latent_dim,hidden_dim,num_layers,n_train_graphs,n_val_graphs,n_test_graphs,best_epoch,best_val_recon,best_val_objective,ridge_alpha,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_pearson_r,val_pearson_r,test_pearson_r,test_train_rmse_gap,train_val_rmse_gap,head_train_rmse,head_val_rmse,head_test_rmse,head_train_r2,head_val_r2,head_test_r2,train_summary_json,ridge_summary_json,fold_records_path
1,1,vae_ridge,SD,semi_supervised,1.0,shared_static,16,128,3,934,215,288,40,0.4010987288730089,1.2119917349759923,10.0,1.3395797883003084,2.403545639811586,2.330310108797554,0.7408677234327206,0.2745465520331547,0.1878888394394973,0.8608870106961766,0.5486914745367614,0.5136940409092142,0.9907303204972455,1.0639658515112778,1.343390610199248,2.3884008677144926,2.2760480856357517,0.7393912730004557,0.2836599326033483,0.22526904876939702,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_01/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_01/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_01/graph_records_fold.pt
1,2,vae_ridge,SD,semi_supervised,1.0,shared_static,16,128,3,934,215,288,39,0.40109855213830636,1.1334904953490856,10.0,1.4083237188617985,2.3420179951075766,2.476783683170023,0.7287547433750404,0.22269811625015457,-0.009762055313486062,0.8537912359105007,0.5356110749856241,0.3909936284760952,1.0684599643082244,0.933694276245778,1.439357427499537,2.3573412474062727,2.4237945551399087,0.7166687541374621,0.21249344864493802,0.032982124791750445,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_02/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_02/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_02/graph_records_fold.pt
1,3,vae_ridge,SD,semi_supervised,1.0,shared_static,16,128,3,934,216,287,33,0.39984722821800794,0.9728333972118519,10.0,1.6397003163470976,2.37331718183006,2.4599951050961835,0.6330819140942188,-0.10656542065049068,0.20085055416963205,0.7958128230607522,0.3197577480172903,0.47993961011929326,0.8202947887490859,0.7336168654829625,1.679414622594734,2.2144537239987026,2.4240874266958152,0.6150928143089645,0.03661751489527698,0.22401008929614263,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_03/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_03/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_03/graph_records_fold.pt
1,4,vae_ridge,SD,semi_supervised,1.0,shared_static,16,128,3,934,216,287,65,0.3544683169435572,1.1410739730905604,3.0,1.2067174721888403,2.4199629222443306,2.536252617981722,0.782176607089307,0.15903853803253343,0.2160443026110369,0.8844566109729319,0.4982766485565475,0.4989375622858205,1.3295351457928817,1.2132454500554903,1.1839905666486907,2.3966571693673964,2.5218899215293895,0.7903041667350976,0.1751585069603394,0.22489818094322855,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_04/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_04/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_04/graph_records_fold.pt
1,5,vae_ridge,SD,semi_supervised,1.0,shared_static,16,128,3,934,216,287,110,0.31141115559471977,1.0123067608586065,3.0,0.920476845974809,2.2631060490456414,2.4313839510911954,0.8825548389923431,0.2569589454117436,0.1005315902060222,0.9395646320223434,0.5335156359736983,0.43346577042735557,1.5109071051163863,1.3426292030708322,0.8993854013435642,2.2677913349066885,2.415690044476683,0.8878753608711227,0.25387913970765386,0.11210575169151527,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_05/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_05/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_01/fold_05/graph_records_fold.pt
2,1,vae_ridge,SD,semi_supervised,1.0,shared_static,16,128,3,934,215,288,46,0.3857208586016367,1.1272219570570214,10.0,1.5159731072961666,2.489399844711643,2.5183121437067535,0.6784070055358175,0.12391016228332363,0.04906838475423514,0.8241225801840354,0.4158580229559003,0.39834088967917686,1.0023390364105869,0.9734267374154764,1.5560436513072222,2.4687107448103807,2.481723615367269,0.6611814830282383,0.13841180271365772,0.07649980029323589,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_01/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_01/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_01/graph_records_fold.pt
2,2,vae_ridge,SD,semi_supervised,1.0,shared_static,16,128,3,934,215,288,38,0.4112839657206868,1.1222321133280908,10.0,1.5666785675806374,2.2475597957769,2.546672812882315,0.6385297646615232,0.26337971442596164,0.1821646809227795,0.7992378659524448,0.5415258914654671,0.45868018303201546,0.9799942453016774,0.6808812281962624,1.59870871746759,2.2515090740303925,2.6074433051599097,0.623598432328311,0.26078874946453323,0.14266746254948226,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_02/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_02/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_02/graph_records_fold.pt
2,3,vae_ridge,SD,semi_supervised,1.0,shared_static,16,128,3,934,216,287,70,0.34795772146295617,1.2611874827632197,3.0,1.1688040516428513,2.562116390565166,2.3278721959458086,0.800717901430116,0.15710470792872122,0.2309416446194219,0.8948668592784639,0.46322685072813347,0.5325338567513136,1.1590681443029573,1.3933123389223148,1.307936568131823,2.724546245542773,2.4648778417155177,0.7504496199489445,0.04684334097655818,0.13775272604275368,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_03/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_03/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_03/graph_records_fold.pt
2,4,vae_ridge,SD,semi_supervised,1.0,shared_static,16,128,3,934,216,287,65,0.35822336762039747,1.2884441283014085,10.0,1.0847861627898618,2.5826912024531783,2.3663586377717665,0.8272551680587287,0.13274162546542567,0.23109653581873402,0.9099554694101749,0.4595946776849881,0.5224430190969056,1.2815724749819046,1.4979050396633165,1.127997231265388,2.6674855199576797,2.495287062190046,0.8132189308696758,0.0748595350966964,0.14502834628745842,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_04/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_04/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_04/graph_records_fold.pt
2,5,vae_ridge,SD,semi_supervised,1.0,shared_static,16,128,3,934,216,287,53,0.3601232082755477,0.8994777092227229,10.0,1.3531444415122327,2.1575180793747393,2.5219205461378467,0.7544794036114324,0.2529387873461152,-0.03441954253834134,0.8688923391001793,0.5537498410482841,0.4003005767656919,1.168776104625614,0.8043736378625066,1.7144556071153105,2.2995013956674795,2.7878701539677415,0.6058585561554654,0.15137727749669083,-0.2640929288887379,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_05/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_05/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_semi_shared_static_z16/repeat_02/fold_05/graph_records_fold.pt
