repeat,fold,model_family,mode,supervision_mode,affinity_weight,target_policy,latent_dim,hidden_dim,num_layers,n_train_graphs,n_val_graphs,n_test_graphs,best_epoch,best_val_recon,best_val_objective,ridge_alpha,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_pearson_r,val_pearson_r,test_pearson_r,test_train_rmse_gap,train_val_rmse_gap,head_train_rmse,head_val_rmse,head_test_rmse,head_train_r2,head_val_r2,head_test_r2,train_summary_json,ridge_summary_json,fold_records_path
1,1,vae_ridge,SD,unsupervised,0.0,shared_static,32,128,3,934,215,288,117,0.3244837400525115,0.3244837400525115,0.3,2.590285196506773,2.800133059098777,2.5365758851841145,0.03109877471944722,0.015394764203369937,0.03775921798825044,0.19188476850845668,0.13423282490007743,0.24413654975110846,-0.053709311322658326,0.20984786259200439,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_01/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_01/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_01/graph_records_fold.pt
1,2,vae_ridge,SD,unsupervised,0.0,shared_static,32,128,3,934,215,288,114,0.3299781183863795,0.3299781183863795,0.01,2.555344847094991,2.593157014457378,2.534291369949478,0.10699025348218483,0.04705706936853005,-0.05719714183187263,0.32980172125654883,0.2376203971533066,0.09131072259185932,-0.02105347714551309,0.03781216736238724,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_02/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_02/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_02/graph_records_fold.pt
1,3,vae_ridge,SD,unsupervised,0.0,shared_static,32,128,3,934,216,287,120,0.3274952526445742,0.3274952526445742,0.1,2.629970938068824,2.277237558457274,2.709769158164979,0.05606507017704376,-0.018784207074487247,0.030329669150435556,0.24534522317223356,0.084715680466204,0.178454924309452,0.07979822009615489,-0.35273337961154994,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_03/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_03/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_03/graph_records_fold.pt
1,4,vae_ridge,SD,unsupervised,0.0,shared_static,32,128,3,934,216,287,116,0.32929204238785637,0.32929204238785637,0.01,2.4724627021811583,2.550723869156508,2.8022755748973784,0.08556505482413468,0.06570169105744494,0.04296419320022393,0.29704371056147194,0.2771684899436839,0.21601622651539445,0.3298128727162202,0.0782611669753499,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_04/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_04/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_04/graph_records_fold.pt
1,5,vae_ridge,SD,unsupervised,0.0,shared_static,32,128,3,934,216,287,117,0.31520455413394505,0.31520455413394505,0.003,2.487081865577097,2.539285873611612,2.429592355967399,0.14258801024433454,0.06453790944065796,0.10185667051320535,0.3789158281963774,0.26840321866371436,0.330371470937695,-0.0574895096096979,0.05220400803451497,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_05/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_05/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_01/fold_05/graph_records_fold.pt
2,1,vae_ridge,SD,unsupervised,0.0,shared_static,32,128,3,934,215,288,117,0.3344017906244411,0.3344017906244411,0.003,2.45608666194827,3.144693243670665,2.6007464499718362,0.15586684477672086,-0.3980281031147179,-0.01420604720975982,0.39749647936054383,0.034073456134232946,0.19849408369023228,0.14465978802356627,0.6886065817223952,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_01/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_01/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_01/graph_records_fold.pt
2,2,vae_ridge,SD,unsupervised,0.0,shared_static,32,128,3,934,215,288,119,0.3225363158902457,0.3225363158902457,0.03,2.5178283120137634,2.5901716104669155,2.738311245350317,0.06639114377660715,0.02168605769487597,0.05444852172287207,0.2696890711644201,0.16350402261684535,0.24811154223072177,0.22048293333655344,0.07234329845315202,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_02/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_02/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_02/graph_records_fold.pt
2,3,vae_ridge,SD,unsupervised,0.0,shared_static,32,128,3,934,216,287,119,0.33269501836211596,0.33269501836211596,0.01,2.4837795712684065,2.675765168327444,2.657192276292783,0.1000653521540138,0.08066898776226183,-0.002044460233684209,0.32344139871962646,0.2910846442678383,0.13935514264132737,0.17341270502437656,0.19198559705903762,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_03/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_03/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_03/graph_records_fold.pt
2,4,vae_ridge,SD,unsupervised,0.0,shared_static,32,128,3,934,216,287,120,0.3280664836918866,0.3280664836918866,0.003,2.473184353542039,2.643637907202839,2.6513193170742415,0.10209628119100378,0.09132730692742386,0.03476122794880099,0.32368115120853064,0.3037969734040143,0.20398358026270605,0.17813496353220248,0.17045355366080006,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_04/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_04/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_04/graph_records_fold.pt
2,5,vae_ridge,SD,unsupervised,0.0,shared_static,32,128,3,934,216,287,120,0.3184056160626588,0.3184056160626588,0.01,2.6774167155176376,2.534456896806182,2.7045930888079233,0.03876061817844456,-0.030901378604507368,-0.18970088556875675,0.2056506721133554,0.027177811549304938,-0.03754309944357099,0.02717637329028566,-0.1429598187114558,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_05/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_05/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_SD_unsup_shared_static_z32/repeat_02/fold_05/graph_records_fold.pt
