repeat,fold,model_family,mode,supervision_mode,affinity_weight,target_policy,latent_dim,hidden_dim,num_layers,n_train_graphs,n_val_graphs,n_test_graphs,best_epoch,best_val_recon,best_val_objective,ridge_alpha,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_pearson_r,val_pearson_r,test_pearson_r,test_train_rmse_gap,train_val_rmse_gap,head_train_rmse,head_val_rmse,head_test_rmse,head_train_r2,head_val_r2,head_test_r2,train_summary_json,ridge_summary_json,fold_records_path
1,1,vae_ridge,S,unsupervised,0.0,shared_static,16,128,3,934,215,288,120,1.2651592310084854,1.2651592310084854,0.03,2.5961479914767973,2.8252165889062524,2.537970502321964,0.0267078313880158,-0.0023243895116369373,0.0367008413007438,0.17083633570688275,0.05505571620744462,0.2350298039465566,-0.05817748915483323,0.22906859742945507,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_01/train_summary_S.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_01/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_01/graph_records_fold.pt
1,2,vae_ridge,S,unsupervised,0.0,shared_static,16,128,3,934,215,288,118,1.284274646847747,1.284274646847747,0.03,2.615531151285022,2.6020010396666087,2.4830819673258664,0.06442855371891443,0.04054591485644521,-0.01490409061996778,0.2730742030731355,0.204805538986205,0.0897532930580703,-0.13244918395915573,-0.013530111618413443,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_02/train_summary_S.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_02/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_02/graph_records_fold.pt
1,3,vae_ridge,S,unsupervised,0.0,shared_static,16,128,3,934,216,287,120,1.2762963462758947,1.2762963462758947,0.1,2.6539198523167644,2.2170411898871496,2.6980293229788463,0.0387955679326083,0.03436488202914245,0.03871349051531037,0.21036381727468573,0.18959792358585673,0.21897759760274527,0.04410947066208193,-0.4368786624296148,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_03/train_summary_S.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_03/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_03/graph_records_fold.pt
1,4,vae_ridge,S,unsupervised,0.0,shared_static,16,128,3,934,216,287,119,1.2773181862301297,1.2773181862301297,0.01,2.5078735570770214,2.615796169781851,2.9068099250164536,0.059184228520421156,0.017423282018448893,-0.0297689028567083,0.24761887730941165,0.17833516160617888,0.02794693636529223,0.3989363679394322,0.10792261270482939,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_04/train_summary_S.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_04/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_04/graph_records_fold.pt
1,5,vae_ridge,S,unsupervised,0.0,shared_static,16,128,3,934,216,287,119,1.2560582558314006,1.2560582558314006,0.03,2.6089930774783303,2.581907770451818,2.5093893421010462,0.05647101957163103,0.03287090589990438,0.04189099515621875,0.24722661548052513,0.18305561135580128,0.21961286488406578,-0.09960373537728406,-0.02708530702651224,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_05/train_summary_S.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_05/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_01/fold_05/graph_records_fold.pt
2,1,vae_ridge,S,unsupervised,0.0,shared_static,16,128,3,934,215,288,120,1.2703702061675315,1.2703702061675315,0.1,2.6159285729627597,2.645887713472125,2.541556860194463,0.04241937929668005,0.010303246445928393,0.03143264449092309,0.21791217961139342,0.11870157667488364,0.18255313839526494,-0.07437171276829657,0.029959140509365323,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_01/train_summary_S.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_01/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_01/graph_records_fold.pt
2,2,vae_ridge,S,unsupervised,0.0,shared_static,16,128,3,934,215,288,120,1.2787360224612923,1.2787360224612923,0.01,2.527505349440347,2.6160034235582237,2.7278967747882246,0.05920087622884107,0.002075279859561019,0.06162717387706573,0.2512599235570069,0.11390445433909711,0.26601764943862266,0.20039142534787757,0.08849807411787669,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_02/train_summary_S.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_02/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_02/graph_records_fold.pt
2,3,vae_ridge,S,unsupervised,0.0,shared_static,16,128,3,934,216,287,119,1.2624240009873002,1.2624240009873002,0.01,2.5255647849242844,2.717603292094924,2.5273350343569168,0.0695310228090189,0.05169500415639783,0.09350238888005458,0.26740328082797254,0.2275444601462165,0.3221849044424956,0.0017702494326323759,0.19203850717063942,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_03/train_summary_S.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_03/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_03/graph_records_fold.pt
2,4,vae_ridge,S,unsupervised,0.0,shared_static,16,128,3,934,216,287,119,1.268137675744516,1.268137675744516,0.1,2.5457719180011167,2.749902353588436,2.6596260645291374,0.04861615464732516,0.016808576921044316,0.028703447508596658,0.24300046230542627,0.14770569941774242,0.1892691204359136,0.11385414652802073,0.20413043558731925,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_04/train_summary_S.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_04/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_04/graph_records_fold.pt
2,5,vae_ridge,S,unsupervised,0.0,shared_static,16,128,3,934,216,287,120,1.2661539448632135,1.2661539448632135,0.1,2.660959447452074,2.4018133966114847,2.460774478452822,0.05054119431672299,0.074181559433111,0.015133092746542953,0.23796241584968192,0.34276037975956936,0.15899292482026012,-0.2001849689992521,-0.2591460508405894,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_05/train_summary_S.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_05/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_S_unsup_shared_static_z16/repeat_02/fold_05/graph_records_fold.pt
