repeat,fold,model_family,mode,supervision_mode,affinity_weight,target_policy,latent_dim,hidden_dim,num_layers,n_train_graphs,n_val_graphs,n_test_graphs,best_epoch,best_val_recon,best_val_objective,ridge_alpha,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_pearson_r,val_pearson_r,test_pearson_r,test_train_rmse_gap,train_val_rmse_gap,head_train_rmse,head_val_rmse,head_test_rmse,head_train_r2,head_val_r2,head_test_r2,train_summary_json,ridge_summary_json,fold_records_path
1,1,supervised_baseline,SD,supervised,,,,128,3,934,215,288,38,,6.119232910020011,,1.2722429126958665,2.5049493399935288,2.141547344028343,0.7662646399720121,0.21204267505110153,0.3141274836695701,0.8860486548752823,0.4953571684195766,0.5769867520811207,0.8693044313324763,1.2327064272976622,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_01/fold_01/supervised_baseline_summary_SD.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_01/fold_01/graph_records_fold.pt
1,2,supervised_baseline,SD,supervised,,,,128,3,934,215,288,34,,4.720987064497812,,1.5315418453363203,2.1641393752140585,2.427860034937913,0.6792143743696695,0.33628792563044163,0.029735406765163952,0.8294631713504415,0.5938523498510666,0.4153564149951012,0.8963181896015926,0.6325975298777382,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_01/fold_02/supervised_baseline_summary_SD.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_01/fold_02/graph_records_fold.pt
1,3,supervised_baseline,SD,supervised,,,,128,3,934,216,287,15,,4.216014419283185,,2.069740474953149,2.075659802380833,2.5214023679765014,0.41538232207887016,0.15359566784232803,0.16045528998432468,0.6478747255347592,0.4634015655421104,0.44950360355194835,0.45166189302335225,0.0059193274276836405,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_01/fold_03/supervised_baseline_summary_SD.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_01/fold_03/graph_records_fold.pt
1,4,supervised_baseline,SD,supervised,,,,128,3,934,216,287,33,,4.945898711681366,,1.4414714232751287,2.2390158629405343,2.581709962803404,0.6891825517281361,0.2800986113767747,0.18769073741353826,0.8367284848527664,0.5649696984890341,0.4746918881314658,1.1402385395282755,0.7975444396654057,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_01/fold_04/supervised_baseline_summary_SD.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_01/fold_04/graph_records_fold.pt
1,5,supervised_baseline,SD,supervised,,,,128,3,934,216,287,30,,5.4463149309158325,,1.5064709814378487,2.327930913577363,2.493932454050656,0.685420128010859,0.21378165284715223,0.05365782087975246,0.8311094401409399,0.4944724094527738,0.4247599179303428,0.987461472612807,0.8214599321395142,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_01/fold_05/supervised_baseline_summary_SD.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_01/fold_05/graph_records_fold.pt
2,1,supervised_baseline,SD,supervised,,,,128,3,934,215,288,40,,4.942860586302621,,1.2743357805088977,2.2439112616496164,2.4044664341591617,0.7727565679285591,0.28817918596508685,0.1331027912674615,0.8856273130473752,0.5535385574820206,0.46882292392734337,1.130130653650264,0.9695754811407187,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_02/fold_01/supervised_baseline_summary_SD.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_02/fold_01/graph_records_fold.pt
2,2,supervised_baseline,SD,supervised,,,,128,3,934,215,288,30,,4.4680531706128805,,1.5929887372416613,2.127289717596196,2.5077710220903673,0.6262870495866635,0.3401055941836647,0.20695959039928147,0.8109228437904256,0.5999976028696881,0.4935266068097884,0.9147822848487059,0.5343009803545347,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_02/fold_02/supervised_baseline_summary_SD.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_02/fold_02/graph_records_fold.pt
2,3,supervised_baseline,SD,supervised,,,,128,3,934,216,287,22,,6.393742527280535,,1.7140624074262019,2.5330969787716624,2.3465933816532503,0.5714138510341049,0.17609042039452927,0.21852208072959844,0.7582651085629999,0.45132479285053057,0.5097535982993854,0.6325309742270484,0.8190345713454605,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_02/fold_03/supervised_baseline_summary_SD.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_02/fold_03/graph_records_fold.pt
2,4,supervised_baseline,SD,supervised,,,,128,3,934,216,287,43,,7.13090375491551,,1.3409555656930536,2.6924507451071524,2.327181821229981,0.7360354753668228,0.057461562257918875,0.2563453156434239,0.8691338264923447,0.3933821625884981,0.531287004206546,0.9862262555369272,1.3514951794140988,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_02/fold_04/supervised_baseline_summary_SD.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_02/fold_04/graph_records_fold.pt
2,5,supervised_baseline,SD,supervised,,,,128,3,934,216,287,16,,4.380616809640612,,1.915542982182598,2.074698818519835,2.320400081250069,0.5079792513959747,0.3091919012853518,0.1242913067476975,0.7221820589927994,0.5807483864960409,0.45750819827086237,0.40485709906747114,0.15915583633723718,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_02/fold_05/supervised_baseline_summary_SD.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/full_base_SD/repeat_02/fold_05/graph_records_fold.pt
