repeat,fold,model_family,mode,supervision_mode,affinity_weight,target_policy,latent_dim,hidden_dim,num_layers,n_train_graphs,n_val_graphs,n_test_graphs,best_epoch,best_val_recon,best_val_objective,ridge_alpha,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_pearson_r,val_pearson_r,test_pearson_r,test_train_rmse_gap,train_val_rmse_gap,head_train_rmse,head_val_rmse,head_test_rmse,head_train_r2,head_val_r2,head_test_r2,train_summary_json,ridge_summary_json,fold_records_path
1,1,vae_ridge,SD,semi_supervised,1.0,sd_dynamic_all,16,128,3,934,215,288,38,0.5097861682259759,1.5202084989048714,3.0,1.6974110122837331,2.8024912407474067,2.58843902159952,0.5839376968327291,0.013735660400433725,-0.0019912229669123427,0.7641885859831374,0.3552079380676376,0.3642908150248214,0.891028009315787,1.1050802284636736,1.7585108791888904,2.830741038471926,2.681804747263291,0.5534455136260752,-0.006248127174548479,-0.07557909104170446,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_01/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_01/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_01/graph_records_fold.pt
1,2,vae_ridge,SD,semi_supervised,1.0,sd_dynamic_all,16,128,3,934,215,288,24,0.5630033922749896,1.3960959065792173,30.0,1.827504408230779,2.6364701339241035,2.6391212939168742,0.5432547586681978,0.014957481636406977,-0.14646709020786464,0.737435362620329,0.34224136232691094,0.25234548147270564,0.8116168856860952,0.8089657256933245,1.879557391157357,2.6506375447819774,2.646603680236292,0.5168651704842724,0.004342532707990898,-0.15297718902079693,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_02/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_02/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_02/graph_records_fold.pt
1,3,vae_ridge,SD,semi_supervised,1.0,sd_dynamic_all,16,128,3,934,216,287,29,0.5164815110188944,1.2271869778633118,10.0,1.8205832571756677,2.498387746565111,2.742263376892606,0.5476639020646077,-0.22626747797551272,0.006934614982815113,0.7401531948291449,0.21670384912713908,0.29085148713588577,0.9216801197169382,0.6778044893894435,1.8337523705144705,2.4141280095331346,2.7183108397273084,0.5410963257822964,-0.144948935910034,0.0242068824099525,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_03/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_03/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_03/graph_records_fold.pt
1,4,vae_ridge,SD,semi_supervised,1.0,sd_dynamic_all,16,128,3,934,216,287,44,0.5095179456251638,1.4952243323679322,3.0,1.457081836220441,2.789012185303775,2.728719126281429,0.6824141053445446,-0.11701625677462846,0.09254693052749008,0.8261178511623567,0.22892990236381855,0.37247739444757305,1.2716372900609882,1.331930349083334,1.5416771994194134,2.710545244479791,2.6832936493790025,0.6444667559968467,-0.055047450097482464,0.12250851748337532,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_04/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_04/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_04/graph_records_fold.pt
1,5,vae_ridge,SD,semi_supervised,1.0,sd_dynamic_all,16,128,3,934,216,287,42,0.4865841004583571,1.348034072805334,10.0,1.6677512316004468,2.4956623170795336,2.6360557603524715,0.6144577917119034,0.09640328746923887,-0.057275111512483434,0.7841285465941618,0.36405350328853536,0.27787672501761407,0.9683045287520247,0.8279110854790868,2.0527831435412986,2.9167684779002774,3.014276213986094,0.415888796674624,-0.23426073976559647,-0.38243562414463517,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_05/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_05/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_01/fold_05/graph_records_fold.pt
2,1,vae_ridge,SD,semi_supervised,1.0,sd_dynamic_all,16,128,3,934,215,288,118,0.3687059006025625,1.2428493976593018,3.0,0.9698690606398708,2.6408682978471116,2.540249814641765,0.8683715413298461,0.014054718818912182,0.03242859791734565,0.9319480274306012,0.31377675071546673,0.38336197930333515,1.5703807540018941,1.6709992372072409,0.8959480287642326,2.6748128555855484,2.505020898975304,0.8876716908003031,-0.011453985762440722,0.059079622941119236,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_01/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_01/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_01/graph_records_fold.pt
2,2,vae_ridge,SD,semi_supervised,1.0,sd_dynamic_all,16,128,3,934,215,288,20,0.590334076659624,1.480968729008076,30.0,2.0129449469695344,2.5819934569096885,2.7156034257081663,0.4032718413544468,0.027854120716915176,0.07006572751620443,0.6354450169748861,0.3207485594436602,0.3208594565109229,0.7026584787386319,0.5690485099401541,2.055453872029536,2.4859126893517556,2.657511592957321,0.3778025782476151,0.09885867281546146,0.10942624265805456,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_02/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_02/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_02/graph_records_fold.pt
2,3,vae_ridge,SD,semi_supervised,1.0,sd_dynamic_all,16,128,3,934,216,287,26,0.5816663901011149,1.5485980455522184,10.0,1.8792702995656803,2.6856012349826544,2.591745651835441,0.4848148082265126,0.07389767505907618,0.04670835705764598,0.6963965758367437,0.39040310973327436,0.35798945103866264,0.7124753522697609,0.8063309354169741,1.9645473345817226,2.756880859749416,2.7633107656449427,0.43699809309783066,0.02408517579690883,-0.08367857356801012,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_03/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_03/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_03/graph_records_fold.pt
2,4,vae_ridge,SD,semi_supervised,1.0,sd_dynamic_all,16,128,3,934,216,287,23,0.6002755540388601,1.6126281486617193,10.0,1.9730372389586601,2.7698780803861593,2.6207747516859023,0.42853800366573735,0.0024725790370110357,0.056873215802345944,0.654818556421378,0.2917048359839461,0.31407044490725633,0.6477375127272422,0.7968408414274992,2.089055657571664,2.7076034613559097,2.6625555479677323,0.35935592890297174,0.046822774475303364,0.026562571951462055,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_04/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_04/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_04/graph_records_fold.pt
2,5,vae_ridge,SD,semi_supervised,1.0,sd_dynamic_all,16,128,3,934,216,287,42,0.5236830799667923,1.2964022932229218,3.0,1.6007216525666317,2.662511152605001,2.5627040699856494,0.6564173272496971,-0.1377063245344443,-0.06814653071662446,0.8102274679283834,0.2515009407116957,0.3637332994150891,0.9619824174190177,1.0617895000383692,1.670007137686807,2.5880322617702856,2.5381523951064295,0.6260304262761942,-0.07494606146773575,-0.04777807306906179,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_05/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_05/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_semi_sd_dynamic_all_z16/repeat_02/fold_05/graph_records_fold.pt
