repeat,fold,model_family,mode,supervision_mode,affinity_weight,target_policy,latent_dim,hidden_dim,num_layers,n_train_graphs,n_val_graphs,n_test_graphs,best_epoch,best_val_recon,best_val_objective,ridge_alpha,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_pearson_r,val_pearson_r,test_pearson_r,test_train_rmse_gap,train_val_rmse_gap,head_train_rmse,head_val_rmse,head_test_rmse,head_train_r2,head_val_r2,head_test_r2,train_summary_json,ridge_summary_json,fold_records_path
1,1,vae_ridge,SD,unsupervised,0.0,sd_dynamic_all,32,128,3,934,215,288,115,0.3394575724768084,0.3394575724768084,1.0,2.5821399270272356,2.846819514578244,2.6082034072859734,0.037182701905324356,-0.017711474791878512,-0.01735132836387221,0.20796201458709795,-0.002643282955763715,0.020561058077133914,0.026063480258737837,0.2646795875510084,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_01/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_01/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_01/graph_records_fold.pt
1,2,vae_ridge,SD,unsupervised,0.0,sd_dynamic_all,32,128,3,934,215,288,119,0.35192029614781223,0.35192029614781223,1.0,2.6538571311093575,2.6364658149890183,2.5175273133073754,0.03680938310505888,0.014960708929713351,-0.043256917416667706,0.20809305448586798,0.12496612131051424,-0.023046984774883292,-0.13632981780198206,-0.017391316120339173,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_02/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_02/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_02/graph_records_fold.pt
1,3,vae_ridge,SD,unsupervised,0.0,sd_dynamic_all,32,128,3,934,216,287,117,0.3395809531211853,0.3395809531211853,100.0,2.7031404949003632,2.2711113141080306,2.7509798105945555,0.002811191914702471,-0.013310095916917453,0.000611556862893714,0.05453844826748674,-0.11545425232685896,0.03512371179083728,0.04783931569419231,-0.43202918079233266,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_03/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_03/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_03/graph_records_fold.pt
1,4,vae_ridge,SD,unsupervised,0.0,sd_dynamic_all,32,128,3,934,216,287,120,0.3562648715796294,0.3562648715796294,3.0,2.558846506161155,2.625592795554536,2.8824772047208294,0.02055109033353142,0.010049647987256383,-0.012600801932965311,0.16033928058210004,0.16845364808464802,-0.03501878156059764,0.3236306985596742,0.06674628939338101,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_04/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_04/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_04/graph_records_fold.pt
1,5,vae_ridge,SD,unsupervised,0.0,sd_dynamic_all,32,128,3,934,216,287,119,0.33013525715580694,0.33013525715580694,3.0,2.6575774135514396,2.642039955698759,2.57372938841332,0.021003275649947306,-0.012702218968064338,-0.00787015923544021,0.16753000755686062,-0.06618549814719492,0.014691054165186828,-0.08384802513811973,-0.015537457852680792,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_05/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_05/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_01/fold_05/graph_records_fold.pt
2,1,vae_ridge,SD,unsupervised,0.0,sd_dynamic_all,32,128,3,934,215,288,120,0.3374637885149135,0.3374637885149135,3.0,2.634019775147665,2.6520427732617873,2.5799735426322665,0.029128734750289764,0.005693279004221008,0.0019307585383785408,0.19479451588025717,0.08264723322870063,0.05925058006827177,-0.05404623251539853,0.018022998114122224,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_01/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_01/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_01/graph_records_fold.pt
2,2,vae_ridge,SD,unsupervised,0.0,sd_dynamic_all,32,128,3,934,215,288,119,0.33769420925960986,0.33769420925960986,100.0,2.602496202917173,2.62987985665161,2.818163284999754,0.002545838870682493,-0.008539662355016464,-0.0015020978154516307,0.054546704614093174,-0.012561026282774128,0.05137151346016604,0.215667082082581,0.02738365373443674,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_02/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_02/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_02/graph_records_fold.pt
2,3,vae_ridge,SD,unsupervised,0.0,sd_dynamic_all,32,128,3,934,216,287,120,0.3686610857645671,0.3686610857645671,0.3,2.548286340675757,2.8058060310081445,2.6837108620028114,0.05271355303912495,-0.010860455337440955,-0.0221449245152201,0.2439097114049111,0.04039171310435167,0.05805669512541957,0.1354245213270544,0.25751969033238753,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_03/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_03/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_03/graph_records_fold.pt
2,4,vae_ridge,SD,unsupervised,0.0,sd_dynamic_all,32,128,3,934,216,287,119,0.37070432084578053,0.37070432084578053,100.0,2.603911321552168,2.7803435598104933,2.6943347146050396,0.004665244008918101,-0.005079612405116007,0.0031868011421264386,0.07255113314006995,-0.037424437163897525,0.0676960287214011,0.0904233930528715,0.1764322382583252,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_04/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_04/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_04/graph_records_fold.pt
2,5,vae_ridge,SD,unsupervised,0.0,sd_dynamic_all,32,128,3,934,216,287,119,0.35147063047797594,0.35147063047797594,3.0,2.6976071270440856,2.5384125332656478,2.4795214749201144,0.02420853459306227,-0.034121834505191684,6.98463153838702e-05,0.18343200142666088,-0.03650986528925188,0.0980038750995727,-0.21808565212397113,-0.1591945937784378,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_05/train_summary_SD.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_05/latent_ridge_summary.json,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_SD_unsup_sd_dynamic_all_z32/repeat_02/fold_05/graph_records_fold.pt
