repeat,fold,model_family,mode,supervision_mode,affinity_weight,target_policy,latent_dim,hidden_dim,num_layers,n_train_graphs,n_val_graphs,n_test_graphs,best_epoch,best_val_recon,best_val_objective,ridge_alpha,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_pearson_r,val_pearson_r,test_pearson_r,test_train_rmse_gap,train_val_rmse_gap,head_train_rmse,head_val_rmse,head_test_rmse,head_train_r2,head_val_r2,head_test_r2,train_summary_json,ridge_summary_json,fold_records_path
1,1,supervised_baseline,S,supervised,,,,128,3,934,215,288,13,,6.521066205842154,,2.1839412467060093,2.5412199126252344,2.482794205121298,0.3112426613775623,0.1890589176962102,0.07813041476035465,0.5675020267958183,0.4349847911332819,0.3240261182692354,0.2988529584152886,0.3572786659192251,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_01/fold_01/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_01/fold_01/graph_records_fold.pt
1,2,supervised_baseline,S,supervised,,,,128,3,934,215,288,16,,5.883919494492667,,2.1025632982503843,2.4277296075959485,2.5446222036973087,0.3954178463789021,0.16476267369903397,-0.0658338667253493,0.6455433703288227,0.4155396643931171,0.22298960729401088,0.4420589054469244,0.3251663093455641,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_01/fold_02/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_01/fold_02/graph_records_fold.pt
1,3,supervised_baseline,S,supervised,,,,128,3,934,216,287,16,,5.14562577860696,,2.1588462260732446,2.2814601148216984,2.6156375392573885,0.36396124924379647,-0.022565860934452786,0.09652811975633735,0.612323119633468,0.2500850532459277,0.34010419905700623,0.4567913131841439,0.1226138887484538,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_01/fold_03/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_01/fold_03/graph_records_fold.pt
1,4,supervised_baseline,S,supervised,,,,128,3,934,216,287,37,,6.263149176325117,,1.5833190106895403,2.498265190197596,2.6360994696278763,0.6250009485507876,0.10373643087358897,0.1531039807490785,0.8015351058061306,0.3758253100982836,0.4158748009333979,1.052780458938336,0.9149461795080556,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_01/fold_04/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_01/fold_04/graph_records_fold.pt
1,5,supervised_baseline,S,supervised,,,,128,3,934,216,287,19,,6.207459058080401,,1.9352429885590425,2.4698896095221157,2.4657494393078787,0.4808648973306765,0.11496981016844454,0.07492549974000706,0.7192938400607378,0.3658678837083572,0.33868107440948475,0.5305064507488362,0.5346466209630731,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_01/fold_05/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_01/fold_05/graph_records_fold.pt
2,1,supervised_baseline,S,supervised,,,,128,3,934,215,288,60,,6.358182276998248,,0.9003833313977981,2.540041695490562,2.71789983386293,0.8865567975263449,0.08790301955717517,-0.10763599646455058,0.9501799228530473,0.4233872572390402,0.3158311507635297,1.8175165024651316,1.6396583640927638,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_02/fold_01/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_02/fold_01/graph_records_fold.pt
2,2,supervised_baseline,S,supervised,,,,128,3,934,215,288,38,,5.976444619042533,,1.5141213386252212,2.457798900884862,2.6525796609765933,0.6623753885156404,0.1191258686674892,0.11272871067952372,0.8287074614872189,0.4047612601799953,0.3917948855369021,1.138458322351372,0.943677562259641,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_02/fold_02/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_02/fold_02/graph_records_fold.pt
2,3,supervised_baseline,S,supervised,,,,128,3,934,216,287,20,,6.810804537364414,,1.9756182976152212,2.627010698447728,2.633681035901527,0.43063475864072054,0.11386558950574965,0.015609572731861698,0.6680439685959884,0.38038757774616505,0.32150246914732084,0.6580627382863056,0.6513924008325067,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_02/fold_03/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_02/fold_03/graph_records_fold.pt
2,4,supervised_baseline,S,supervised,,,,128,3,934,216,287,39,,7.7274976798466275,,1.5007502711366476,2.7868746551544312,2.6739527958743547,0.6693765520645405,-0.009807071765565833,0.018211006786698847,0.8349279533041281,0.3307940455956421,0.3629142913998645,1.1732025247377071,1.2861243840177836,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_02/fold_04/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_02/fold_04/graph_records_fold.pt
2,5,supervised_baseline,S,supervised,,,,128,3,934,216,287,24,,5.189930507114956,,1.8380369832351011,2.2334815749927825,2.359350847362589,0.5469896695123502,0.199406519095763,0.09464485921599675,0.7509034442484501,0.4832114237497719,0.4168581703591789,0.5213138641274879,0.39544459175768143,,,,,,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_02/fold_05/supervised_baseline_summary_S.json,,src/bridging/generatedData/graphvae/PPB_Affinity_broad_pairuniq_train80_test20_resample_matrix_v1/iface_base_S/repeat_02/fold_05/graph_records_fold.pt
