pdb,reason,ligand_len,receptor_len,size_source,subgroup,pdb_path,n_ca_ligand,n_ca_receptor,dN_ligand_nm,dN_receptor_nm
1A22,too_small_partner_len,180.0,192.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1A22.pdb,180.0,192.0,1.1162140369415283,1.2586944103240967
1A4Y,too_small_partner_len,460.0,123.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1A4Y.pdb,460.0,123.0,1.079870581626892,1.2845666408538818
1ACB,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1ACB.pdb,241.0,63.0,1.192944049835205,inf
1AHW,KEEP,428.0,200.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1AHW.pdb,428.0,200.0,1.3327897787094116,1.454379916191101
1AK4,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1AK4.pdb,165.0,145.0,1.3375980854034424,2.444256067276001
1AO7,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
1B2S,too_small_partner_len,110.0,90.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1B2S.pdb,110.0,90.0,1.4723773002624512,1.682375192642212
1B2U,too_small_partner_len,110.0,90.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1B2U.pdb,110.0,90.0,1.4599809646606445,1.6885544061660767
1B3S,too_small_partner_len,110.0,90.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1B3S.pdb,110.0,90.0,1.4871439933776855,1.6794339418411255
1B41,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1B41.pdb,531.0,61.0,1.2147146463394165,inf
1BD2,subgroup_filtered:TCR-pMHC,,,,TCR-pMHC,,,,,
1BJ1,too_small_partner_len,431.0,188.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1BJ1.pdb,431.0,188.0,1.5018140077590942,1.7932275533676147
1BP3,too_small_partner_len,186.0,197.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1BP3.pdb,186.0,197.0,1.2140828371047974,1.3615087270736694
1BRS,too_small_partner_len,108.0,87.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1BRS.pdb,108.0,87.0,1.4800257682800293,1.766528606414795
1C1Y,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1C1Y.pdb,167.0,77.0,1.6377582550048828,2.1103475093841553
1C4Z,too_small_partner_len,1050.0,144.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1C4Z.pdb,1050.0,144.0,1.3105005025863647,1.7703042030334473
1CBW,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1CBW.pdb,239.0,58.0,1.2453073263168335,inf
1CHO,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1CHO.pdb,238.0,53.0,1.1905516386032104,inf
1CSE,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1CSE.pdb,274.0,63.0,1.1869375705718994,inf
1CSO,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1CSO.pdb,185.0,51.0,1.2474404573440552,inf
1CT0,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1CT0.pdb,185.0,51.0,1.2638016939163208,inf
1CT2,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1CT2.pdb,185.0,51.0,1.267119288444519,inf
1CT4,too_few_CA,,,,OTHER,src\bridging\generatedData\pdb_cache\1CT4.pdb,185.0,51.0,1.2671993970870972,inf
1CZ8,too_small_partner_len,431.0,188.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1CZ8.pdb,431.0,188.0,1.4847265481948853,1.7570852041244507
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DQJ,too_small_partner_len,424.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DQJ.pdb,424.0,129.0,1.3868876695632935,1.5509687662124634
