pdb,reason
1A22,KEEP
1A4Y,KEEP
1ACB,KEEP
1AHW,KEEP
1AK4,KEEP
1AO7,KEEP
1B2S,KEEP
1B2U,duplicate_ligand_receptor_pair
1B3S,duplicate_ligand_receptor_pair
1B41,KEEP
1BD2,KEEP
1BJ1,KEEP
1BP3,KEEP
1BRS,duplicate_ligand_receptor_pair
1C1Y,KEEP
1C4Z,KEEP
1CBW,KEEP
1CHO,KEEP
1CSE,KEEP
1CSO,KEEP
1CT0,duplicate_ligand_receptor_pair
1CT2,duplicate_ligand_receptor_pair
1CT4,duplicate_ligand_receptor_pair
1CZ8,duplicate_ligand_receptor_pair
1DAN,KEEP
1DQJ,KEEP
1DVF,KEEP
1E50,KEEP
1E96,KEEP
1EAW,KEEP
1EFN,KEEP
1EMV,KEEP
1F47,KEEP
1F5R,KEEP
1FC2,KEEP
1FCC,KEEP
1FFW,KEEP
1FR2,duplicate_ligand_receptor_pair
1FSS,KEEP
1FY8,duplicate_ligand_receptor_pair
1GC1,KEEP
1GCQ,KEEP
1GL0,KEEP
1GL1,KEEP
1GRN,KEEP
1GUA,duplicate_ligand_receptor_pair
1H9D,duplicate_ligand_receptor_pair
1HE8,KEEP
1IAR,KEEP
1JCK,KEEP
1JRH,KEEP
1JTD,KEEP
1JTG,KEEP
1K8R,KEEP
1KAC,KEEP
1KBH,KEEP
1KIP,KEEP
1KIQ,duplicate_ligand_receptor_pair
1KIR,duplicate_ligand_receptor_pair
1KNE,KEEP
1KTZ,KEEP
1LFD,KEEP
1LP9,KEEP
1M9E,duplicate_ligand_receptor_pair
1MAH,KEEP
1MHP,KEEP
1MI5,KEEP
1MLC,KEEP
1MQ8,KEEP
1N8O,KEEP
1N8Z,KEEP
1NCA,KEEP
1NMB,KEEP
1OGA,KEEP
1OHZ,KEEP
1P69,duplicate_ligand_receptor_pair
1P6A,duplicate_ligand_receptor_pair
1PPF,KEEP
1QAB,KEEP
1QSE,duplicate_ligand_receptor_pair
1R0R,KEEP
1REW,KEEP
1S0W,duplicate_ligand_receptor_pair
1S1Q,KEEP
1SBB,KEEP
1SBN,KEEP
1SGD,duplicate_ligand_receptor_pair
1SGE,duplicate_ligand_receptor_pair
1SGN,duplicate_ligand_receptor_pair
1SGP,duplicate_ligand_receptor_pair
1SGQ,duplicate_ligand_receptor_pair
1SGY,duplicate_ligand_receptor_pair
1SIB,duplicate_ligand_receptor_pair
1SMF,KEEP
1TM1,KEEP
1TM3,duplicate_ligand_receptor_pair
1TM4,duplicate_ligand_receptor_pair
1TM5,duplicate_ligand_receptor_pair
1TM7,duplicate_ligand_receptor_pair
1TMG,duplicate_ligand_receptor_pair
1TO1,duplicate_ligand_receptor_pair
1U7F,KEEP
1UUZ,KEEP
1VFB,duplicate_ligand_receptor_pair
1WQJ,KEEP
1X1W,duplicate_ligand_receptor_pair
1X1X,duplicate_ligand_receptor_pair
1XD3,KEEP
1XGP,duplicate_ligand_receptor_pair
1XGQ,duplicate_ligand_receptor_pair
1XGR,duplicate_ligand_receptor_pair
1XGT,duplicate_ligand_receptor_pair
1XGU,duplicate_ligand_receptor_pair
1XXM,duplicate_ligand_receptor_pair
1Y1K,duplicate_ligand_receptor_pair
1Y33,duplicate_ligand_receptor_pair
1Y34,duplicate_ligand_receptor_pair
1Y3B,duplicate_ligand_receptor_pair
1Y3C,duplicate_ligand_receptor_pair
1Y3D,duplicate_ligand_receptor_pair
1Y48,duplicate_ligand_receptor_pair
1Y4A,duplicate_ligand_receptor_pair
1YCS,KEEP
1YQV,KEEP
1YY9,KEEP
1Z7X,KEEP
2A9K,KEEP
2ABZ,KEEP
2AJF,KEEP
2AK4,KEEP
2AW2,KEEP
2B0U,KEEP
2B0Z,KEEP
2B10,duplicate_ligand_receptor_pair
2B11,duplicate_ligand_receptor_pair
2B12,duplicate_ligand_receptor_pair
2B2X,duplicate_ligand_receptor_pair
2B42,KEEP
2BDN,KEEP
2BNQ,KEEP
2BNR,duplicate_ligand_receptor_pair
2BTF,KEEP
2C0L,KEEP
2C5D,KEEP
2C5D,duplicate_ligand_receptor_pair
2CCL,duplicate_ligand_receptor_pair
2DSQ,KEEP
2DVW,KEEP
2E7L,KEEP
2FTL,KEEP
2G2U,KEEP
2G2W,duplicate_ligand_receptor_pair
2GOX,KEEP
