size_key,pdb_id,ligand_chains,receptor_chains,subgroup,pdb_path,ligand_modeled_residues,receptor_modeled_residues,ligand_seq_len,receptor_seq_len,rcsb_status,status
1A22|A|B,1A22,A,B,OTHER,src\bridging\generatedData\pdb_cache\1A22.pdb,180.0,192.0,,,skipped,ok
1A4Y|A|B,1A4Y,A,B,OTHER,src\bridging\generatedData\pdb_cache\1A4Y.pdb,460.0,123.0,,,skipped,ok
1ACB|E|I,1ACB,E,I,OTHER,src\bridging\generatedData\pdb_cache\1ACB.pdb,241.0,63.0,,,skipped,ok
"1AHW|A,B|C",1AHW,"A,B",C,OTHER,src\bridging\generatedData\pdb_cache\1AHW.pdb,428.0,200.0,,,skipped,ok
1AK4|A|D,1AK4,A,D,OTHER,src\bridging\generatedData\pdb_cache\1AK4.pdb,165.0,145.0,,,skipped,ok
"1AO7|A,B,C|D,E",1AO7,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\1AO7.pdb,383.0,324.0,,,skipped,ok
1B2S|A|D,1B2S,A,D,OTHER,src\bridging\generatedData\pdb_cache\1B2S.pdb,110.0,90.0,,,skipped,ok
1B2U|A|D,1B2U,A,D,OTHER,src\bridging\generatedData\pdb_cache\1B2U.pdb,110.0,90.0,,,skipped,ok
1B3S|A|D,1B3S,A,D,OTHER,src\bridging\generatedData\pdb_cache\1B3S.pdb,110.0,90.0,,,skipped,ok
1B41|A|B,1B41,A,B,OTHER,src\bridging\generatedData\pdb_cache\1B41.pdb,531.0,61.0,,,skipped,ok
"1BD2|A,B,C|D,E",1BD2,"A,B,C","D,E",TCR-pMHC,src\bridging\generatedData\pdb_cache\1BD2.pdb,383.0,432.0,,,skipped,ok
"1BJ1|H,L|V,W",1BJ1,"H,L","V,W",OTHER,src\bridging\generatedData\pdb_cache\1BJ1.pdb,431.0,188.0,,,skipped,ok
1BP3|A|B,1BP3,A,B,OTHER,src\bridging\generatedData\pdb_cache\1BP3.pdb,186.0,197.0,,,skipped,ok
1BRS|A|D,1BRS,A,D,OTHER,src\bridging\generatedData\pdb_cache\1BRS.pdb,108.0,87.0,,,skipped,ok
1C1Y|A|B,1C1Y,A,B,OTHER,src\bridging\generatedData\pdb_cache\1C1Y.pdb,167.0,77.0,,,skipped,ok
"1C4Z|A,B,C|D",1C4Z,"A,B,C",D,OTHER,src\bridging\generatedData\pdb_cache\1C4Z.pdb,1050.0,144.0,,,skipped,ok
"1CBW|F,G,H|I",1CBW,"F,G,H",I,OTHER,src\bridging\generatedData\pdb_cache\1CBW.pdb,239.0,58.0,,,skipped,ok
