PDB,complex_pdb,Chains_1,Chains_2,Baseline_dG,Experimental_dG,Error_dG,Temp_C,Temp_K,pH,Kd_M,Kd_qualifier,dG_kcal_mol,dG_qualifier,Method,Class
1WEJ,1WEJ_HL:F,HL,F,9.42,12.5,-3.08,25.0,298.15,,7.1e-10,,12.5,,spectro-scopy,A
1PPE,1PPE_E:I,E,I,14.75,15.6,-0.8499999999999996,22.0,295.15,8.3,3e-12,,15.6,,spectro-scopy,EI
1PVH,1PVH_A:B,A,B,10.93,9.5,1.4299999999999997,20.0,293.15,7.5,8e-08,,9.5,,ITC,OR
3SGB,3SGB_E:I,E,I,13.03,14.5,-1.4700000000000006,22.0,295.15,8.3,1.8e-11,,14.5,,spectro-scopy,EI
1KTZ,1KTZ_A:B,A,B,8.06,8.9,-0.8399999999999999,25.0,298.15,7.4,2.9e-07,,8.9,,SPR,OR
2PCC,2PCC_A:B,A,B,8.11,7.9,0.20999999999999908,25.0,298.15,6.0,1.6e-06,,7.9,,ITC,ES
2MTA,2MTA_HL:A,HL,A,7.78,7.4,0.3799999999999999,30.0,303.15,7.5,4.5e-06,,7.4,,spectro-scopy,ES
1FSK,1FSK_BC:A,BC,A,11.66,13.1,-1.4399999999999995,25.0,298.15,7.4,2.4e-10,,13.1,,SPR,AB
1R0R,1R0R_E:I,E,I,11.25,14.2,-2.9499999999999993,21.0,294.15,8.3,2.9e-11,,14.2,,spectro-scopy,EI
2PCB,2PCB_A:B,A,B,7.39,6.8,0.5899999999999999,25.0,298.15,6.0,1e-05,,6.8,,ITC,NC
1P2C,1P2C_AB:C,AB,C,11.38,13.6,-2.219999999999999,25.0,298.15,,1e-10,,13.6,,SPR,A
1JTG,1JTG_B:A,B,A,11.85,12.8,-0.9500000000000011,25.0,298.15,7.5,4e-10,,12.8,,SPR,EI
1BJ1,1BJ1_HL:VW,HL,VW,12.16,11.6,0.5600000000000005,25.0,298.15,4.8,3.4e-09,,11.6,,SPR,AB
