Unnamed: 0,Source Data Set,Complex ID,PDB,Mutations,Ligand Chains,Receptor Chains,Ligand Name,Receptor Name,KD(M),Affinity Method,Structure Method,Temperature(K),Resolution(A),PDB PubMed ID,PDB Release Date,Affinity PubMed ID,Affinity Release Date,Subgroup
0,SKEMPI v2.0,"1A22:A, B::PMID=7504735",1A22,,A,B,Human growth hormone,hGH binding protein,9e-10,SPR,X-RAY DIFFRACTION,298.0,2.6,9571026.0,29/04/1998,7504735,1993 Dec 5,OTHER
3,SKEMPI v2.0,"1AHW:A, B, C::PMID=9480775",1AHW,,"A, B",C,Immunoglobulin fab 5G9,Tissue factor,3.4e-09,IASP,X-RAY DIFFRACTION,298.0,3.0,9480775.0,25/02/1998,9480775,1998 Feb 6,OTHER
11,SKEMPI v2.0,"1BJ1:H, L, V, W::PMID=9753694",1BJ1,,"H, L","V, W",Fab-12,VEGF,3.4e-09,SPR,X-RAY DIFFRACTION,298.0,2.4,9753694.0,13/01/1999,9753694,1998 Sep 15,OTHER
12,SKEMPI v2.0,"1BP3:A, B::PMID=2014261",1BP3,,A,B,Human growth hormone,Prolactin receptor,3.3e-11,RA,X-RAY DIFFRACTION,298.0,2.9,7984244.0,19/08/1998,2014261,1991 Apr 15,OTHER
23,SKEMPI v2.0,"1CZ8:H, L, V, W::PMID=10543973",1CZ8,,"H, L","V, W",Fab-12,VEGF,1.4e-10,SPR,X-RAY DIFFRACTION,298.0,2.4,10543973.0,20/03/2000,10543973,1999 Nov 5,OTHER
24,SKEMPI v2.0,"1DAN:H, L, T, U::PMID=7756258",1DAN,,"H, L","T, U",Factor VIIa,Tissue factor,2.6e-12,Other,X-RAY DIFFRACTION,310.0,2.0,8598903.0,04/09/1997,7756258,1995 May 16,OTHER
26,SKEMPI v2.0,"1DVF:A, B, C, D::PMID=8703938",1DVF,,"A, B","C, D",IgG1-kappa D1.3 Fv,E5.2 Fv,1.08e-08,SPR,X-RAY DIFFRACTION,298.0,1.9,8950273.0,17/08/1996,8703938,1996 Jul 30,OTHER
40,SKEMPI v2.0,"1GC1:C, G::PMID=2402498",1GC1,,G,C,gp120,CD4,3.6e-09,RA,X-RAY DIFFRACTION,298.0,2.5,9641677.0,08/07/1998,2402498,1990 Sep,OTHER
44,SKEMPI v2.0,"1GRN:A, B::PMID=9632678",1GRN,,A,B,Cdc42,Cdc42-GAP,2.9e-06,FL,X-RAY DIFFRACTION,298.0,2.1,9846874.0,22/12/1999,9632678,1998 Jun 26,OTHER
47,SKEMPI v2.0,"1HE8:A, B::PMID=11136978",1HE8,,A,B,Phosphatidylinositol 3-kinase,H-Ras1,1.3e-06,Other,X-RAY DIFFRACTION,293.0,3.0,11136978.0,08/01/2001,11136978,2000 Dec 8,OTHER
49,SKEMPI v2.0,"1JCK:A, B::PMID=9500785",1JCK,,A,B,Beta-chain of 14.3.d,Staphylococcal enterotoxin C3,3e-06,SPR,X-RAY DIFFRACTION,298.0,3.5,8906797.0,12/11/1997,9500785,1998 Mar 16,OTHER
51,SKEMPI v2.0,"1JTD:A, B::PMID=24947275",1JTD,,A,B,TEM-1 beta-lactamase,BLIP-II,1.5e-12,Other,X-RAY DIFFRACTION,296.0,2.3,11573088.0,03/10/2001,24947275,2014 Sep,OTHER
52,SKEMPI v2.0,"1JTG:A, B::PMID=9891008",1JTG,,A,B,TEM-1 beta-lactamase,BLIP,1.1e-10,IASP,X-RAY DIFFRACTION,298.0,1.73,11573088.0,17/10/2001,9891008,1999 Jan 22,OTHER
65,SKEMPI v2.0,"1MHP:A, H, L::PMID=16597831",1MHP,,"H, L",A,AQC2 fab,Integrin alpha-1,1.07e-08,SPR,X-RAY DIFFRACTION,298.0,2.8,12662928.0,15/04/2003,16597831,2006 May,OTHER
68,SKEMPI v2.0,"1MQ8:A, B::PMID=12526797",1MQ8,,A,B,Intercellular adhesion molecule I,Integrin alpha-L,3e-06,SPR,X-RAY DIFFRACTION,298.0,3.3,12526797.0,14/01/2003,12526797,2003 Jan 10,OTHER
70,SKEMPI v2.0,"1N8Z:A, B, C::PMID=23527120",1N8Z,,"A, B",C,Herceptin,erbB-2,1.31e-09,SPR,X-RAY DIFFRACTION,298.0,2.52,12610629.0,18/02/2003,23527120,2013,OTHER
71,SKEMPI v2.0,"1NCA:H, L, N::PMID=9692956",1NCA,,N,"H, L",Subtype N9 neuraminidase,Antibody NC41 scFv,5e-08,FL,X-RAY DIFFRACTION,298.0,2.5,1381757.0,31/01/1994,9692956,1998 Jul 28,OTHER
72,SKEMPI v2.0,"1NMB:H, L, N::PMID=9579662",1NMB,,N,"H, L",Subtype N9 neuraminidase,Antibody NC10,4.55e-08,SPR,X-RAY DIFFRACTION,298.0,2.2,7994573.0,15/09/1995,9579662,1998 Jan,OTHER
78,SKEMPI v2.0,"1QAB:A, B, C, D, E::PMID=19021760",1QAB,,"A, B, C, D",E,Transthyretin,Plasma retinol-binding protein,3.5e-07,FL,X-RAY DIFFRACTION,293.0,3.2,10052934.0,16/02/1999,19021760,2008 Dec,OTHER
82,SKEMPI v2.0,"1S0W:A, C::PMID=15618400",1S0W,,A,C,TEM-1 beta-lactamase,BLIP,1.66e-07,SPR,X-RAY DIFFRACTION,298.0,2.3,15618400.0,10/02/2004,15618400,2005 Jan 4,OTHER
84,SKEMPI v2.0,"1SBB:A, B::PMID=9500785",1SBB,,A,B,Beta-chain of 14.3.d,Staphylococcal enterotoxin B,0.00014,SPR,X-RAY DIFFRACTION,298.0,2.4,9881971.0,01/03/1999,9500785,1998 Mar 16,OTHER
101,SKEMPI v2.0,"1U7F:A, B, C::PMID=15350224",1U7F,,B,"A, C",Smad4,Smad3,5.8e-08,ITC,X-RAY DIFFRACTION,310.0,2.6,15350224.0,28/09/2004,15350224,2004 Sep 10,OTHER
113,SKEMPI v2.0,"1XXM:A, C::PMID=15618400",1XXM,,A,C,TEM-1 beta-lactamase,BLIP,2.8e-07,SPR,X-RAY DIFFRACTION,298.0,1.9,15618400.0,18/01/2005,15618400,2005 Jan 4,OTHER
122,SKEMPI v2.0,"1YCS:A, B::PMID=16887812",1YCS,,A,B,p53 core domain,53BP2,2.2e-06,ITC,X-RAY DIFFRACTION,293.0,2.2,8875926.0,19/11/1997,16887812,2006 Oct 27,OTHER
124,SKEMPI v2.0,"1YY9:A, C, D::PMID=24380763",1YY9,,"C, D",A,Cetuximab fab,Epidermal growth factor receptor,1.31e-09,SPR,X-RAY DIFFRACTION,298.0,2.6,15837620.0,26/04/2005,24380763,2014 Apr 3,OTHER
126,SKEMPI v2.0,"2A9K:A, B::PMID=16177825",2A9K,,A,B,Ras-related protein Ral-A,Mono-ADP-ribosyltransferase C3,6e-08,ITC,X-RAY DIFFRACTION,310.0,1.73,16177825.0,11/10/2005,16177825,2005 Oct 19,OTHER
128,SKEMPI v2.0,"2AJF:A, E::PMID=15791205",2AJF,,A,E,Human Angiotensin-converting enzyme 2,SARS spike protein receptor binding domain,1.62e-08,SPR,X-RAY DIFFRACTION,298.0,2.9,16166518.0,20/09/2005,15791205,2005 Apr 20,OTHER
131,SKEMPI v2.0,"2B0U:A, B, C::PMID=22052913",2B0U,,"A, B",C,Activin A,Follistatin,2e-11,SPR,X-RAY DIFFRACTION,298.0,2.8,16198295.0,11/10/2005,22052913,2012 Jan 6,OTHER
136,SKEMPI v2.0,"2B2X:A, H, L::PMID=16597831",2B2X,,"H, L",A,AQC2 fab,Integrin alpha-1,1.46e-09,Other,X-RAY DIFFRACTION,298.0,2.2,16597831.0,18/04/2006,16597831,2006 May,OTHER
137,SKEMPI v2.0,"2B42:A, B::PMID=16279951",2B42,,A,B,TAXI-I,B. subtilis endoxylanase,1.07e-09,SPR,X-RAY DIFFRACTION,295.0,2.5,19769747.0,19/09/2006,16279951,2005 Nov,OTHER
143,SKEMPI v2.0,"2C5D:A, B, C, D::PMID=16362042",2C5D,,"A, B","C, D",GAS6,Axl,5e-09,SPR,X-RAY DIFFRACTION,298.0,3.3,16362042.0,19/12/2005,16362042,2006 Jan 11,OTHER
150,SKEMPI v2.0,"2G2U:A, B::PMID=15284234",2G2U,,A,B,SHV-1 beta-lactamase,BLIP,1.13e-06,IASP,X-RAY DIFFRACTION,298.0,1.6,16809340.0,04/07/2006,15284234,2004 Oct 8,OTHER
151,SKEMPI v2.0,"2G2W:A, B::PMID=16809340",2G2W,,A,B,SHV-1 beta-lactamase,BLIP,5.82e-07,IASP,X-RAY DIFFRACTION,298.0,1.8,16809340.0,04/07/2006,16809340,2006 Sep 8,OTHER
169,SKEMPI v2.0,"2NY7:G, H, L::PMID=17301785",2NY7,,"H, L",G,b12 fab,gp120,3.64e-08,SPR,X-RAY DIFFRACTION,298.0,2.3,17301785.0,06/02/2007,17301785,2007 Feb 15,OTHER
170,SKEMPI v2.0,"2NYY:A, C, D::PMID=17173035",2NYY,,"C, D",A,AR2 mab,BoNT/A1,1.25e-10,Other,X-RAY DIFFRACTION,296.0,2.61,17173035.0,26/12/2006,17173035,2007 Jan,OTHER
