pdb,reason,temperature_k,ligand_len,receptor_len,size_source,subgroup,pdb_path,n_ca_ligand,n_ca_receptor,dN_ligand_nm,dN_receptor_nm
1A22,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1A22.pdb,180.0,192.0,0.8534631729125977,0.9321355819702148
1A4Y,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1A4Y.pdb,460.0,123.0,0.8876482248306274,0.9878867268562317
1ACB,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1ACB.pdb,241.0,63.0,0.9685985445976257,1.390696406364441
1AHW,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1AHW.pdb,428.0,200.0,1.040097951889038,1.031813621520996
1AK4,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1AK4.pdb,165.0,145.0,0.9613432288169861,1.6003247499465942
1AO7,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1AO7.pdb,383.0,324.0,0.9072093367576599,1.0816572904586792
1B2S,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1B2S.pdb,110.0,90.0,1.0391813516616821,1.0892380475997925
1B2U,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1B2U.pdb,110.0,90.0,1.0367497205734253,1.0856289863586426
1B3S,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1B3S.pdb,110.0,90.0,1.0570627450942993,1.0927256345748901
1B41,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1B41.pdb,531.0,61.0,0.9045783877372742,1.0617740154266357
1BD2,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1BD2.pdb,383.0,432.0,0.8880210518836975,1.1117435693740845
1BJ1,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1BJ1.pdb,431.0,188.0,0.9439972043037415,1.2037280797958374
1BP3,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1BP3.pdb,186.0,197.0,0.9259015917778015,0.9894644618034363
1BRS,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1BRS.pdb,108.0,87.0,1.061166524887085,1.1024032831192017
1C1Y,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1C1Y.pdb,167.0,77.0,1.1163347959518433,1.3810347318649292
1C4Z,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1C4Z.pdb,1050.0,144.0,1.0200823545455933,1.1052542924880981
1CBW,KEEP,295.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CBW.pdb,239.0,58.0,0.9506058692932129,1.7049177885055542
1CHO,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CHO.pdb,238.0,53.0,0.9400230646133423,1.3436142206192017
1CSE,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CSE.pdb,274.0,63.0,0.9048445820808411,1.3106615543365479
1CSO,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CSO.pdb,185.0,51.0,0.9757267236709595,1.3132411241531372
1CT0,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CT0.pdb,185.0,51.0,0.9797220826148987,1.2781661748886108
1CT2,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CT2.pdb,185.0,51.0,0.9873571991920471,1.2883177995681763
1CT4,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CT4.pdb,185.0,51.0,0.9849817156791687,1.3079029321670532
1CZ8,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1CZ8.pdb,431.0,188.0,0.9273992776870728,1.1903034448623657
1DAN,KEEP,310.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,0.8835017681121826,0.8518294095993042
1DQJ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1DQJ.pdb,424.0,129.0,0.9770137071609497,1.0535383224487305
1DVF,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1DVF.pdb,223.0,228.0,1.0892798900604248,1.1731090545654297
1.00E+50,invalid_pdb_id,,,,,OTHER,,,,,
1.00E+96,invalid_pdb_id,,,,,OTHER,,,,,
1EAW,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1EAW.pdb,241.0,56.0,0.8854196667671204,1.2256819009780884
1EFN,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1EFN.pdb,57.0,104.0,1.343363881111145,1.305105209350586
1EMV,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1EMV.pdb,83.0,131.0,1.056512713432312,1.2115013599395752
1F47,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\1F47.pdb,17.0,144.0,inf,1.136048674583435
1F5R,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1F5R.pdb,216.0,57.0,0.9749738574028015,1.7656782865524292
1FC2,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1FC2.pdb,43.0,206.0,1.2531039714813232,1.3020614385604858
1FCC,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1FCC.pdb,206.0,56.0,1.171366572380066,1.0399078130722046
1FFW,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1FFW.pdb,128.0,68.0,1.1871083974838257,1.3870311975479126
1FR2,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1FR2.pdb,83.0,131.0,1.0113494396209717,1.1627418994903564
1FSS,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1FSS.pdb,532.0,61.0,0.9172593355178833,1.152854323387146
1FY8,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1FY8.pdb,215.0,56.0,0.9685918092727661,1.7618967294692993
1GC1,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,0.8792210817337036,0.9176017642021179
1GCQ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1GCQ.pdb,113.0,69.0,0.8862578272819519,1.0435764789581299
1GL0,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1GL0.pdb,241.0,32.0,0.8756738305091858,1.3143408298492432
1GL1,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1GL1.pdb,239.0,34.0,0.9585683345794678,1.2475284337997437
1GRN,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1GRN.pdb,191.0,197.0,0.9728897213935852,0.9060838222503662
1GUA,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1GUA.pdb,167.0,76.0,1.1612250804901123,1.430131196975708
1H9D,KEEP,273.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1H9D.pdb,125.0,125.0,0.8541213870048523,0.9142299890518188
1HE8,KEEP,293.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1HE8.pdb,749.0,166.0,1.2016832828521729,1.0856149196624756
1IAR,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1IAR.pdb,129.0,188.0,1.1005609035491943,1.2727361917495728
1JCK,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1JCK.pdb,238.0,239.0,1.1107407808303833,0.9792502522468567
1JRH,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.0762709379196167,1.3667514324188232
1JTD,KEEP,296.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1JTD.pdb,262.0,273.0,0.9968946576118469,0.9843980669975281
1JTG,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1JTG.pdb,262.0,165.0,0.8698199987411499,0.890860915184021
1K8R,KEEP,310.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1K8R.pdb,166.0,82.0,1.272835612297058,1.2814481258392334
1KAC,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1KAC.pdb,185.0,124.0,1.027370810508728,0.9934639930725098
1KBH,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1KBH.pdb,47.0,59.0,0.8204087018966675,0.738379716873169
1KIP,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1KIP.pdb,223.0,129.0,1.0506279468536377,1.1598116159439087
1KIQ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1KIQ.pdb,223.0,129.0,1.0541623830795288,1.1605150699615479
1KIR,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1KIR.pdb,223.0,129.0,1.0342419147491455,1.167527675628662
1KNE,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\1KNE.pdb,52.0,5.0,1.2333698272705078,inf
1KTZ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1KTZ.pdb,82.0,106.0,1.8584260940551758,1.2352631092071533
1LFD,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1LFD.pdb,87.0,167.0,1.3431944847106934,1.1313380002975464
1LP9,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1LP9.pdb,384.0,431.0,0.9344456195831299,1.034762978553772
1M9E,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1M9E.pdb,164.0,135.0,0.9626541137695312,1.6585159301757812
1MAH,KEEP,323.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1MAH.pdb,533.0,61.0,0.9286075830459595,1.1290656328201294
1MHP,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1MHP.pdb,431.0,184.0,1.0264809131622314,1.132423758506775
1MI5,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1MI5.pdb,385.0,442.0,0.9019659757614136,1.050386905670166
1MLC,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1MLC.pdb,432.0,129.0,0.9989244341850281,1.105281114578247
1MQ8,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1MQ8.pdb,184.0,177.0,1.1812270879745483,1.183176875114441
1N8O,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1N8O.pdb,239.0,136.0,0.8588518500328064,1.1785556077957153
1N8Z,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1N8Z.pdb,434.0,581.0,1.1319305896759033,1.0892469882965088
1NCA,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1NCA.pdb,389.0,435.0,0.9945549964904785,0.9593552947044373
1NMB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.0878474712371826,1.082366704940796
1OGA,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1OGA.pdb,385.0,439.0,1.0056291818618774,1.0400627851486206
1OHZ,KEEP,338.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1OHZ.pdb,140.0,56.0,0.9757280945777893,1.2715156078338623
1P69,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1P69.pdb,185.0,124.0,1.0304181575775146,1.0130054950714111
1P6A,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1P6A.pdb,185.0,124.0,1.031070590019226,0.9938352108001709
1PPF,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1PPF.pdb,218.0,56.0,0.9500716328620911,1.2173503637313843
1QAB,KEEP,293.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1QAB.pdb,469.0,180.0,1.0461636781692505,1.001891016960144
1QSE,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\1QSE.pdb,383.0,443.0,0.9008877873420715,1.1157715320587158
1R0R,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1R0R.pdb,274.0,51.0,0.8837067484855652,1.2913256883621216
1REW,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1REW.pdb,206.0,86.0,0.9318427443504333,0.9191516637802124
1S0W,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1S0W.pdb,263.0,165.0,0.9119991660118103,0.8957843780517578
1S1Q,KEEP,293.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1S1Q.pdb,137.0,71.0,1.0442779064178467,1.0867540836334229
1SBB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SBB.pdb,238.0,239.0,1.2201176881790161,1.0634715557098389
1SBN,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SBN.pdb,275.0,63.0,0.9027056097984314,1.3583325147628784
1SGD,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGD.pdb,185.0,51.0,0.978165328502655,1.3020813465118408
1SGE,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGE.pdb,185.0,51.0,0.9757881164550781,1.2951716184616089
1SGN,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGN.pdb,185.0,51.0,0.9845829010009766,1.2933534383773804
1SGP,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGP.pdb,185.0,51.0,0.9849907755851746,1.3244819641113281
1SGQ,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGQ.pdb,185.0,51.0,0.9837783575057983,1.3178603649139404
1SGY,KEEP,294.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SGY.pdb,185.0,51.0,0.9828783869743347,1.3227367401123047
1SIB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1SIB.pdb,275.0,63.0,0.8820971846580505,1.3568977117538452
1SMF,too_few_CA,,,,,OTHER,src\bridging\generatedData\pdb_cache\1SMF.pdb,223.0,9.0,1.012488603591919,inf
1TM1,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM1.pdb,281.0,64.0,0.8803021311759949,1.2814850807189941
1TM3,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM3.pdb,281.0,63.0,0.8884083032608032,1.2710686922073364
1TM4,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM4.pdb,281.0,63.0,0.8792322278022766,1.274791955947876
1TM5,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM5.pdb,281.0,63.0,0.8777531981468201,1.263820767402649
1TM7,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TM7.pdb,281.0,64.0,0.886505663394928,1.2685387134552002
1TMG,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TMG.pdb,281.0,64.0,0.8860648274421692,1.2726205587387085
1TO1,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1TO1.pdb,281.0,63.0,0.882705569267273,1.258674144744873
1U7F,KEEP,310.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1U7F.pdb,193.0,390.0,0.7785832285881042,0.7938956022262573
1UUZ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1UUZ.pdb,129.0,129.0,1.016648769378662,0.9107241034507751
1VFB,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.050055980682373,1.1423254013061523
1WQJ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1WQJ.pdb,62.0,80.0,1.0842052698135376,1.124768614768982
1X1W,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1X1W.pdb,108.0,90.0,1.0456832647323608,1.100490927696228
1X1X,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1X1X.pdb,110.0,89.0,1.0413689613342285,1.0587798357009888
1XD3,KEEP,305.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XD3.pdb,229.0,75.0,0.8313679695129395,1.1071820259094238
1XGP,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XGP.pdb,425.0,129.0,0.9752646088600159,1.056318759918213
1XGQ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XGQ.pdb,425.0,129.0,0.9765653014183044,1.0537327527999878
1XGR,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XGR.pdb,425.0,129.0,0.9845024347305298,1.0605961084365845
1XGT,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XGT.pdb,425.0,129.0,0.9839149117469788,1.0644348859786987
1XGU,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XGU.pdb,424.0,129.0,0.9805372953414917,1.052632212638855
1XXM,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1XXM.pdb,263.0,165.0,0.938206136226654,0.8984835743904114
1Y1K,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y1K.pdb,281.0,64.0,0.8846006989479065,1.280004620552063
1Y33,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y33.pdb,281.0,64.0,0.879767119884491,1.2811920642852783
1Y34,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y34.pdb,281.0,64.0,0.8746689558029175,1.2721905708312988
1Y3B,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y3B.pdb,281.0,63.0,0.880028247833252,1.2555559873580933
1Y3C,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y3C.pdb,281.0,64.0,0.8912177085876465,1.2642793655395508
1Y3D,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y3D.pdb,281.0,64.0,0.8847049474716187,1.285094141960144
1Y48,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y48.pdb,281.0,63.0,0.8738651871681213,1.25025475025177
1Y4A,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Y4A.pdb,275.0,63.0,0.8900649547576904,1.2394627332687378
1YCS,KEEP,293.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1YCS.pdb,191.0,193.0,1.1382497549057007,1.0842783451080322
1YQV,KEEP,283.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1YQV.pdb,426.0,129.0,0.996229887008667,1.1002230644226074
1YY9,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1YY9.pdb,431.0,613.0,1.0445263385772705,0.9987149834632874
1Z7X,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\1Z7X.pdb,460.0,126.0,0.842568039894104,0.942491888999939
2A9K,KEEP,310.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2A9K.pdb,170.0,207.0,0.9568787813186646,1.0954450368881226
2ABZ,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2ABZ.pdb,301.0,60.0,0.9659909009933472,1.1616681814193726
2AJF,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2AJF.pdb,597.0,174.0,1.0314557552337646,1.0492172241210938
2AK4,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2AK4.pdb,388.0,445.0,1.080750584602356,0.9702970385551453
2AW2,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2AW2.pdb,110.0,100.0,1.0327789783477783,1.0139319896697998
2B0U,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B0U.pdb,232.0,287.0,0.8605923652648926,0.8083657622337341
2B0Z,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B0Z.pdb,294.0,108.0,1.1031795740127563,1.3619872331619263
2B10,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B10.pdb,294.0,108.0,1.0890109539031982,1.2349095344543457
2B11,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B11.pdb,294.0,108.0,1.1161437034606934,1.238042950630188
2B12,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B12.pdb,294.0,108.0,1.1066433191299438,1.3829786777496338
2B2X,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B2X.pdb,420.0,188.0,0.9966626763343811,1.043699860572815
2B42,KEEP,295.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2B42.pdb,364.0,184.0,0.8474629521369934,0.8739646077156067
2BDN,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2BDN.pdb,431.0,68.0,0.9994068145751953,1.1261147260665894
2BNQ,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2BNQ.pdb,385.0,444.0,0.903531551361084,1.0014336109161377
2BNR,KEEP,298.0,,,,TCR-pMHC,src\bridging\generatedData\pdb_cache\2BNR.pdb,385.0,444.0,0.8922148942947388,1.0194520950317383
2BTF,KEEP,298.0,,,,OTHER,src\bridging\generatedData\pdb_cache\2BTF.pdb,373.0,139.0,0.9736376404762268,0.9748815298080444
