Unnamed: 0,Source Data Set,Complex ID,PDB,Mutations,Ligand Chains,Receptor Chains,Ligand Name,Receptor Name,KD(M),Affinity Method,Structure Method,Temperature(K),Resolution(A),PDB PubMed ID,PDB Release Date,Affinity PubMed ID,Affinity Release Date,Subgroup,split
296,SKEMPI v2.0,"4JEU:A, B::PMID=23858467",4JEU,,A,B,Munc18a,Syntaxin-1A,1.4e-09,ITC,X-RAY DIFFRACTION,298.0,3.2,23858467.0,17/07/2013,23858467,2013 Jul 30,OTHER,train
11,SKEMPI v2.0,"1BJ1:H, L, V, W::PMID=9753694",1BJ1,,"H, L","V, W",Fab-12,VEGF,3.4e-09,SPR,X-RAY DIFFRACTION,298.0,2.4,9753694.0,13/01/1999,9753694,1998 Sep 15,OTHER,train
8250,Affinity Benchmark v5.5,"1M10:A, B::PMID=12183630",1M10,,A,B,Von Willebrand factor dom. A1,Glycoprotein IB-alpha,5.8e-09,,X-RAY DIFFRACTION,300.15,3.1,12183630.0,28/08/2002,12183630,2002 Aug 16,OTHER,train
23,SKEMPI v2.0,"1CZ8:H, L, V, W::PMID=10543973",1CZ8,,"H, L","V, W",Fab-12,VEGF,1.4e-10,SPR,X-RAY DIFFRACTION,298.0,2.4,10543973.0,20/03/2000,10543973,1999 Nov 5,OTHER,train
12,SKEMPI v2.0,"1BP3:A, B::PMID=2014261",1BP3,,A,B,Human growth hormone,Prolactin receptor,3.3e-11,RA,X-RAY DIFFRACTION,298.0,2.9,7984244.0,19/08/1998,2014261,1991 Apr 15,OTHER,train
323,SKEMPI v2.0,"4U6H:A, B, E::PMID=25031354",4U6H,,"A, B",E,M12B9 fab,Vaccinia L1,9e-11,BLI,X-RAY DIFFRACTION,298.0,3.1,25031354.0,06/08/2014,25031354,2014 Oct,OTHER,train
228,SKEMPI v2.0,"3IDX:G, H, L::PMID=17301785",3IDX,,"H, L",G,b13 fab,gp120,2.91e-07,SPR,X-RAY DIFFRACTION,298.0,2.5,19965434.0,17/11/2009,17301785,2007 Feb 15,OTHER,train
0,SKEMPI v2.0,"1A22:A, B::PMID=7504735",1A22,,A,B,Human growth hormone,hGH binding protein,9e-10,SPR,X-RAY DIFFRACTION,298.0,2.6,9571026.0,29/04/1998,7504735,1993 Dec 5,OTHER,train
188,SKEMPI v2.0,"2VIS:A, B, C::PMID=9461077",2VIS,,"A, B",C,IgG1 lambda fab,Flu virus hemagglutinin,4e-06,SPR,X-RAY DIFFRACTION,298.0,3.25,9461077.0,29/04/1998,9461077,1998 Feb,OTHER,train
8404,Affinity Benchmark v5.5,"1PVH:A, B::PMID=14527405",1PVH,,A,B,IL6 receptor beta chain D2-D3 domains,Leukemia inhibitory factor,8e-08,,X-RAY DIFFRACTION,295.15,2.5,14527405.0,14/10/2003,14527405,2003 Sep,OTHER,train
