pdb,reason,subgroup,temperature_k,ligand_len,receptor_len,size_source,pdb_path,n_ca_ligand,n_ca_receptor,dN_ligand_nm,dN_receptor_nm
1A22,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1A4Y,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1ACB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1AHW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1AK4,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1AO7,KEEP,TCR-pMHC,298.0,383.0,324.0,modeled_cache,src\bridging\generatedData\pdb_cache\1AO7.pdb,383.0,324.0,1.3610970973968506,1.527219295501709
1B2S,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1B2U,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1B3S,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1B41,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1BD2,KEEP,TCR-pMHC,298.0,383.0,432.0,modeled_cache,src\bridging\generatedData\pdb_cache\1BD2.pdb,383.0,432.0,1.3052103519439697,1.4632439613342285
1BJ1,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1BP3,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1BRS,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1C1Y,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1C4Z,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CBW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CHO,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CSE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CSO,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CT0,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CT2,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CT4,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1CZ8,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1DAN,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1DQJ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1DVF,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1.00E+50,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1.00E+96,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1EAW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1EFN,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1EMV,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1F47,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1F5R,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1FC2,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1FCC,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1FFW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1FR2,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1FSS,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1FY8,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1GC1,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1GCQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1GL0,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1GL1,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1GRN,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1GUA,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1H9D,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1HE8,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1IAR,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1JCK,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1JRH,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1JTD,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1JTG,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1K8R,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1KAC,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1KBH,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1KIP,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1KIQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1KIR,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1KNE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1KTZ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1LFD,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1LP9,KEEP,TCR-pMHC,298.0,384.0,431.0,modeled_cache,src\bridging\generatedData\pdb_cache\1LP9.pdb,384.0,431.0,1.4014383554458618,1.4645121097564697
1M9E,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1MAH,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1MHP,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1MI5,KEEP,TCR-pMHC,298.0,385.0,442.0,modeled_cache,src\bridging\generatedData\pdb_cache\1MI5.pdb,385.0,442.0,1.3487976789474487,1.4131344556808472
1MLC,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1MQ8,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1N8O,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1N8Z,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1NCA,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1NMB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1OGA,KEEP,TCR-pMHC,298.0,385.0,439.0,modeled_cache,src\bridging\generatedData\pdb_cache\1OGA.pdb,385.0,439.0,1.4614871740341187,1.441704273223877
1OHZ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1P69,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1P6A,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1PPF,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1QAB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1QSE,KEEP,TCR-pMHC,298.0,383.0,443.0,modeled_cache,src\bridging\generatedData\pdb_cache\1QSE.pdb,383.0,443.0,1.3417274951934814,1.5486268997192383
1R0R,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1REW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1S0W,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1S1Q,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1SBB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1SBN,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1SGD,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1SGE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1SGN,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1SGP,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1SGQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1SGY,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1SIB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1SMF,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1TM1,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1TM3,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1TM4,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1TM5,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1TM7,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1TMG,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1TO1,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1U7F,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1UUZ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1VFB,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1WQJ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1X1W,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1X1X,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1XD3,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1XGP,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1XGQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1XGR,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1XGT,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1XGU,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1XXM,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1Y1K,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1Y33,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1Y34,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1Y3B,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1Y3C,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1Y3D,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1Y48,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1Y4A,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1YCS,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1YQV,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1YY9,subgroup_filtered:OTHER,OTHER,,,,,,,,,
1Z7X,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2A9K,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2ABZ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2AJF,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2AK4,KEEP,TCR-pMHC,298.0,388.0,445.0,modeled_cache,src\bridging\generatedData\pdb_cache\2AK4.pdb,388.0,445.0,1.4821276664733887,1.3806400299072266
2AW2,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2B0U,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2B0Z,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2B10,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2B11,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2B12,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2B2X,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2B42,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2BDN,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2BNQ,KEEP,TCR-pMHC,298.0,385.0,444.0,modeled_cache,src\bridging\generatedData\pdb_cache\2BNQ.pdb,385.0,444.0,1.248700499534607,1.4050285816192627
2BNR,KEEP,TCR-pMHC,298.0,385.0,444.0,modeled_cache,src\bridging\generatedData\pdb_cache\2BNR.pdb,385.0,444.0,1.2387267351150513,1.4178721904754639
2BTF,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2C0L,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2C5D,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2C5D,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2CCL,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2DSQ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2DVW,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2E7L,too_small_partner_len,TCR-pMHC,,184.0,224.0,modeled_cache,src\bridging\generatedData\pdb_cache\2E7L.pdb,184.0,224.0,1.3403733968734741,1.4226120710372925
2FTL,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2G2U,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2G2W,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2GOX,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2GYK,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2HLE,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2HRK,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2I26,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2J0T,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2J12,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2J1K,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2J8U,KEEP,TCR-pMHC,298.0,384.0,431.0,modeled_cache,src\bridging\generatedData\pdb_cache\2J8U.pdb,384.0,431.0,1.4270045757293701,1.493044137954712
2JCC,KEEP,TCR-pMHC,298.0,384.0,431.0,modeled_cache,src\bridging\generatedData\pdb_cache\2JCC.pdb,384.0,431.0,1.411588430404663,1.5054383277893066
2JEL,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2KSO,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2NOJ,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2NU0,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2NU1,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2NU2,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2NU4,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2NY7,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2NYY,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2NZ9,subgroup_filtered:OTHER,OTHER,,,,,,,,,
2O3B,subgroup_filtered:OTHER,OTHER,,,,,,,,,
